customerID,Churn,PhoneService,MultipleLines,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Months_Paid,Cuentas_Diarias
0002-ORFBO,No,Yes,No,Female,0,Yes,Yes,9,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,9.044207316935301,271.326219508059
0003-MKNFE,No,Yes,Yes,Male,0,No,No,9,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.9,542.4,9.055091819548329,271.6527545864499
0004-TLHLJ,Yes,Yes,No,Male,0,No,No,4,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,280.85,3.800405953940454,114.01217861821362
0011-IGKFF,Yes,Yes,No,Male,1,Yes,No,13,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.0,1237.85,12.631122448850702,378.93367346552105
0013-EXCHZ,Yes,Yes,No,Female,1,Yes,No,3,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.9,267.4,3.1871275327391277,95.61382598217384
0013-MHZWF,No,Yes,No,Female,0,No,Yes,9,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4,571.45,8.234149855789132,247.02449567367398
0013-SMEOE,No,Yes,No,Female,1,Yes,No,71,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.7,7904.25,72.05332725549631,2161.5998176648895
0014-BMAQU,No,Yes,Yes,Male,0,Yes,No,63,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),84.65,5377.8,63.52982870568777,1905.894861170633
0015-UOCOJ,No,Yes,No,Female,1,No,No,7,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,340.35,7.061203319355577,211.83609958066734
0016-QLJIS,No,Yes,Yes,Female,0,Yes,Yes,65,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,65.86954118224577,1976.0862354673732
0017-DINOC,No,No,No phone service,Male,0,No,No,54,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,2460.55,54.43694690145051,1633.1084070435154
0017-IUDMW,No,Yes,Yes,Female,0,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.8,8456.75,72.40368150622942,2172.1104451868823
0018-NYROU,No,Yes,No,Female,0,Yes,No,5,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,351.5,5.0978970267571,152.93691080271302
0019-EFAEP,No,Yes,Yes,Female,0,No,No,72,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,71.68065152940098,2150.419545882029
0019-GFNTW,No,No,No phone service,Female,0,No,No,56,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,56.82796892215699,1704.8390676647098
0020-INWCK,No,Yes,Yes,Female,0,Yes,Yes,71,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),95.75,6849.4,71.53420365460538,2146.0261096381614
0020-JDNXP,No,No,No phone service,Female,0,Yes,Yes,34,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,32.54204081579523,976.2612244738569
0021-IKXGC,No,Yes,Yes,Female,1,No,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,72.1,0.9999999999861303,29.99999999958391
0022-TCJCI,Yes,Yes,No,Male,1,No,No,45,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.7,2791.5,44.521531099768396,1335.645932993052
0023-HGHWL,Yes,No,No phone service,Male,1,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.1,25.1,0.9999999999601593,29.99999999880478
0023-UYUPN,No,Yes,Yes,Female,1,Yes,No,50,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.2,1306.3,51.83730158524455,1555.1190475573367
0023-XUOPT,Yes,Yes,Yes,Female,0,Yes,No,13,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,1215.6,12.918172157142207,387.5451647142662
0027-KWYKW,No,Yes,Yes,Female,0,Yes,Yes,23,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,1849.95,22.088955223616846,662.6686567085054
0030-FNXPP,No,Yes,No,Female,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,57.2,2.881612090534931,86.44836271604794
0031-PVLZI,Yes,Yes,No,Female,0,Yes,Yes,4,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,76.35,3.7518427516583857,112.55528254975157
0032-PGELS,Yes,No,No phone service,Female,0,Yes,Yes,1,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,0.9999999999672131,29.999999999016392
0036-IHMOT,No,Yes,No,Female,0,Yes,Yes,55,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,54.54918032734282,1636.4754098202845
0040-HALCW,No,Yes,No,Male,0,Yes,Yes,54,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,1090.6,53.46078431110486,1603.8235293331459
0042-JVWOJ,No,Yes,No,Male,0,No,No,26,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.6,471.85,24.07397959060847,722.2193877182541
